Date,Open,High,Low,Close,Volume
2017-07-19,472,470,460,472,21239
2017-07-20,460,465,454,460,10954
2017-07-23,461,465,455,461,16709
2017-07-24,459,460,454,459,13393
2017-07-25,455,461,454,455,16138
2017-07-26,458,460,448,458,22953
2017-07-27,450,460,450,450,11335
2017-07-30,460,461,445,460,9537
2017-07-31,451,459,450,451,12315
2017-08-01,453,469,450,453,9280
2017-08-02,454,456,453,454,12168
2017-08-03,454,459,450,454,14097
2017-08-06,453,456,450,453,18930
2017-08-07,454,463,452,454,11926
2017-08-09,453,460,444,453,17516
2017-08-10,450,454,443,450,21245
2017-08-13,450,449,440,450,14415
2017-08-15,445,446,441,445,15104
2017-08-16,441,448,442,441,11304
2017-08-17,444,449,438,444,23326
2017-08-20,443,444,435,443,16054
2017-08-21,440,442,432,440,5674
2017-08-22,438,442,436,438,12396
2017-08-23,441,442,438,441,7718
2017-08-24,441,453,434,441,11438
2017-08-27,443,451,443,443,3889
2017-08-28,446,452,444,446,7897
2017-08-30,446,443,435,446,14820
2017-08-31,438,438,432,438,15528
2017-09-04,437,439,426,437,33009
2017-09-06,430,440,425,430,11603
2017-09-07,438,438,426,438,34082
2017-09-10,428,431,423,428,37704
2017-09-11,425,430,420,425,17950
2017-09-12,424,426,420,424,27903
2017-09-13,421,423,418,421,32249
2017-09-14,420,447,419,420,42524
2017-09-17,447,459,438,447,49764
2017-09-18,447,452,443,447,33400
2017-09-20,443,443,435,443,10450
2017-09-24,439,443,439,439,3718
2017-09-25,441,448,440,441,2882
2017-09-26,448,449,443,448,5132
2017-10-03,448,453,446,448,3164
2017-10-04,453,450,437,453,6475
2017-10-09,432,433,425,432,17649
2017-10-10,431,438,423,431,19003
2017-10-11,427,431,425,427,11993
2017-10-12,428,435,428,428,5474
2017-10-15,429,433,427,429,5553
2017-10-16,433,451,434,433,18696
2017-10-17,442,450,436,442,12124
2017-10-18,449,450,438,449,12688
2017-10-22,444,458,436,444,11183
2017-10-24,449,452,445,449,9549
2017-10-25,448,451,444,448,17137
2017-10-29,449,447,440,449,7203
2017-10-30,442,443,437,442,13723
2017-10-31,437,440,433,437,8889
2017-11-01,437,437,429,437,6291
2017-11-02,434,442,430,434,8331
2017-11-05,440,440,424,440,16936
2017-11-06,430,430,420,430,29796
2017-11-07,429,436,420,429,26141
2017-11-08,422,422,414,422,17305
2017-11-09,416,427,412,416,9434
2017-11-12,415,425,415,415,9098
2017-11-13,423,428,420,423,14684
2017-11-14,428,434,424,428,14580
2017-11-15,432,432,426,432,3596
2017-11-16,428,435,420,428,13740
2017-11-19,420,422,412,420,13373
2017-11-20,420,422,418,420,4579
2017-11-21,421,425,421,421,4762
2017-11-22,423,429,421,423,5998
2017-11-23,425,430,425,425,7260
2017-11-26,425,441,425,425,10953
2017-11-27,432,435,430,432,6918
2017-11-28,430,432,425,430,12551
2017-11-29,431,439,430,431,19013
2017-11-30,436,438,431,436,10518
2017-12-04,437,437,430,437,10306
2017-12-05,435,442,430,435,6588
2017-12-06,431,437,426,431,9725
2017-12-10,435,451,428,435,11646
2017-12-11,430,433,424,430,12873
2017-12-12,431,431,426,431,15642
2017-12-13,427,431,421,427,4262
2017-12-14,428,433,424,428,5967
2017-12-17,425,430,423,425,6121
2017-12-18,423,426,422,423,4333
2017-12-19,426,426,421,426,8052
2017-12-20,424,426,419,424,3192
2017-12-21,422,423,417,422,7557
2017-12-24,420,428,420,420,7917
2017-12-26,421,426,411,421,7244
2017-12-27,420,418,408,420,11368
2017-12-28,415,417,400,415,9917
2017-12-31,410,409,400,410,27546
2018-01-01,402,414,405,402,6665
2018-01-02,414,430,416,414,55870
2018-01-03,425,428,419,425,15373
2018-01-04,422,421,416,422,5788
2018-01-07,421,429,416,421,18051
2018-01-08,423,430,420,423,8389
2018-01-09,425,427,422,425,7302
2018-01-10,425,427,421,425,7277
2018-01-14,425,427,417,425,10523
2018-01-16,420,421,415,420,4270
2018-01-17,417,417,409,417,6401
2018-01-21,413,420,413,413,21733
2018-01-22,419,422,418,419,18056
2018-01-23,420,421,415,420,15725
2018-01-24,416,420,412,416,14131
2018-01-25,419,420,417,419,13110
2018-01-28,420,423,415,420,49337
2018-01-29,346,347,340,346,8266
2018-01-31,340,344,340,340,4790
2018-02-01,344,345,343,344,6191
2018-02-04,344,350,342,344,8959
2018-02-05,350,350,342,350,8109
2018-02-06,342,347,340,342,5214
2018-02-07,347,346,341,347,5012
2018-02-08,342,345,336,342,3523
2018-02-11,342,343,341,342,1760
2018-02-12,342,342,340,342,3785
2018-02-14,340,342,335,340,4167
2018-02-15,340,350,341,340,7548
2018-02-18,350,359,348,350,11904
2018-02-20,350,351,340,350,6728
2018-02-21,340,341,339,340,2461
2018-02-22,340,342,338,340,4099
2018-02-25,340,342,335,340,3932
2018-02-26,338,337,335,338,4951
2018-02-27,335,342,332,335,4409
2018-02-28,338,339,334,338,13018
2018-03-04,334,330,325,334,16726
2018-03-05,328,330,323,328,16594
2018-03-07,327,333,327,327,6817
2018-03-11,330,331,326,330,6491
2018-03-12,326,331,326,326,10231
2018-03-13,328,333,327,328,8561
2018-03-14,333,335,328,333,8410
2018-03-15,335,337,330,335,10440
2018-03-18,335,339,333,335,5791
2018-03-19,334,335,325,334,5937
2018-03-20,325,327,321,325,2133
2018-03-21,323,321,314,323,11081
2018-03-22,316,320,310,316,6600
2018-03-26,316,313,299,316,10390
